CourseOfferingEID,UserEID,Role,Status
MATH_101_1_201301,inst1,I,enrolled
MATH_101_1_201301,stud1,S,enrolled
MATH_101_1_201301,stud2,S,enrolled
MATH_101_1_201301,stud3,S,enrolled
MATH_101_2_201301,inst1,I,enrolled
MATH_101_2_201301,stud3,S,enrolled
MATH_101_2_201301,stud4,S,enrolled
MATH_101_2_201301,stud5,S,enrolled
MATH_101_2_201301,stud6,S,enrolled
MATH_101_3_201301,inst2,I,enrolled
MATH_101_3_201301,stud2,S,enrolled
MATH_101_3_201301,stud3,S,enrolled
MATH_101_3_201301,stud4,S,enrolled
MATH_101_3_201301,stud5,S,enrolled
MATH_201_1_201301,inst3,I,enrolled
MATH_201_1_201301,stud9,S,enrolled
MATH_201_1_201301,stud10,S,enrolled
MATH_201_1_201301,stud11,S,enrolled
MATH_201_2_201301,inst3,I,enrolled
MATH_201_2_201301,stud11,S,enrolled
MATH_201_2_201301,stud12,S,enrolled
MATH_201_2_201301,stud13,S,enrolled
MATH_201_2_201301,stud14,S,enrolled
CS_101_1_201301,inst4,I,enrolled
CS_101_1_201301,stud15,S,enrolled
CS_101_1_201301,stud16,S,enrolled
CS_101_1_201301,stud17,S,enrolled
CS_101_2_201301,inst4,I,enrolled
CS_101_2_201301,stud18,S,enrolled
CS_101_2_201301,stud19,S,enrolled
CS_101_2_201301,stud20,S,enrolled
ENG_101_1_201301,inst5,I,enrolled
ENG_101_1_201301,stud1,S,enrolled
ENG_101_1_201301,stud3,S,enrolled
ENG_101_1_201301,stud5,S,enrolled
ENG_101_1_201301,stud19,S,enrolled
ENG_101_1_201301,stud20,S,enrolled
ENG_101_2_201301,inst5,I,enrolled
ENG_101_2_201301,inst6,I,enrolled
ENG_101_2_201301,stud7,S,enrolled
ENG_101_2_201301,stud9,S,enrolled
ENG_101_2_201301,stud11,S,enrolled
ENG_101_2_201301,stud13,S,enrolled
ENG_101_2_201301,stud15,S,enrolled
ENG_101_2_201301,stud17,S,enrolled
MATH_101_1_201306,inst1,I,enrolled
MATH_101_1_201306,stud2,S,enrolled
MATH_101_1_201306,stud4,S,enrolled
MATH_101_2_201306,inst1,I,enrolled
MATH_101_2_201306,stud6,S,enrolled
MATH_101_2_201306,stud8,S,enrolled
MATH_101_2_201306,stud9,S,enrolled
CS_101_1_201306,inst4,I,enrolled
CS_101_1_201306,stud2,S,enrolled
CS_101_1_201306,stud6,S,enrolled
CS_101_1_201306,stud10,S,enrolled
MATH_101_1_201308,inst1,I,enrolled
MATH_101_1_201308,stud1,S,enrolled
MATH_101_1_201308,stud2,S,enrolled
MATH_101_1_201308,stud3,S,enrolled
MATH_101_1_201308,stud4,S,enrolled
MATH_101_2_201308,inst1,I,enrolled
MATH_201_2_201308,inst2,I,enrolled
MATH_201_2_201308,stud5,S,enrolled
MATH_201_2_201308,stud6,S,enrolled
MATH_201_2_201308,stud7,S,enrolled
CS_101_1_201308,inst4,I,enrolled
CS_101_1_201308,stud8,S,enrolled
CS_101_1_201308,stud9,S,enrolled
CS_101_2_201308,inst4,I,enrolled
CS_101_2_201308,stud10,S,enrolled
CS_101_3_201308,inst6,I,enrolled
CS_101_3_201308,stud11,S,enrolled
CS_101_3_201308,stud12,S,enrolled
CS_101_3_201308,stud13,S,enrolled
CS_101_3_201308,stud14,S,enrolled
CS_101_3_201308,stud15,S,enrolled
ENG_101_1_201308,inst5,I,enrolled
ENG_101_1_201308,stud16,S,enrolled
ENG_101_1_201308,stud17,S,enrolled
ENG_101_1_201308,stud18,S,enrolled
ENG_101_1_201308,stud19,S,enrolled
ENG_101_1_201308,stud20,S,enrolled
ENG_101_1_201308,stud1,S,enrolled
ENG_101_1_201308,stud2,S,enrolled
ENG_101_1_201308,stud3,S,enrolled
ENG_101_1_201308,stud4,S,enrolled
ENG_101_1_201308,stud5,S,enrolled
ENG_101_1_201308,stud6,S,enrolled
ENG_101_2_201308,inst6,I,enrolled
ENG_101_2_201308,stud7,S,enrolled
ENG_101_2_201308,stud8,S,enrolled
ENG_101_2_201308,stud9,S,enrolled
ENG_101_3_201308,inst5,I,enrolled
ENG_101_3_201308,stud10,S,enrolled
ENG_101_3_201308,stud11,S,enrolled
ENG_101_3_201308,stud12,S,enrolled
ENG_101_3_201308,stud13,S,enrolled
